# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [10 x height_gain] [popularity] [street_width] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 4
v 169 2.1503817 48.787682 140
v 170 2.239538 48.7312638 88
v 171 2.2377287 48.7316496 86
v 172 2.2259261 48.7388857 91
v 173 2.2241233 48.7417059 98
v 174 2.2413451 48.7300707 96
v 175 2.2409096 48.7305403 95
v 176 2.2415424 48.731062 92
v 177 2.2423484 48.730861 95
v 178 2.2416792 48.7298905 97
v 179 2.2422705 48.7296908 99
v 180 2.2426242 48.7306932 95
v 181 2.2427412 48.73058 95
v 182 2.2429499 48.7303014 98
v 183 2.2423617 48.7303993 94
v 184 2.1292519 48.7693864 146
v 185 2.1290619 48.7689925 147
v 186 2.1290845 48.7688739 147
v 187 2.1289834 48.7688327 147
v 188 2.1288761 48.7688543 147
v 189 2.1288319 48.7689481 147
v 190 2.1289651 48.7690168 146
v 191 2.1295244 48.767855 147
v 192 2.1293344 48.7682825 148
v 193 2.128989 48.7666484 149
v 194 2.1232518 48.7587972 155
v 195 2.1204889 48.7502862 149
v 196 2.1202005 48.7498185 150
v 197 2.1200119 48.7499228 150
v 198 2.1199908 48.7501586 150
v 199 2.1198455 48.7495272 150
v 200 2.1200261 48.750659 150
v 201 2.1193787 48.7486284 152
v 202 2.1178103 48.7476137 154
v 203 2.1175763 48.7476412 155
v 204 2.1175552 48.7474913 155
v 205 2.11776 48.7474715 155
v 206 2.1169451 48.7485903 154
v 207 2.1145727 48.7495666 154
v 208 2.1137661 48.7498729 154
v 209 2.1137923 48.7494233 155
v 210 2.1140543 48.7495783 154
v 211 2.1140509 48.7497658 154
v 212 2.113806 48.7496305 154
v 213 2.1112194 48.7483869 158
v 214 2.1096502 48.7477065 158
v 215 2.109651 48.7475512 158
v 216 2.1097424 48.7477329 158
v 217 2.1098513 48.7476389 158
v 218 2.1109883 48.7483204 158
v 219 2.1269698 48.763956 157
v 220 2.128437 48.7688044 148
v 221 2.1196369 48.769068 155
v 222 2.119844 48.7691355 155
v 223 2.1199241 48.7690488 155
v 224 2.1196602 48.7689784 155
v 225 2.1188904 48.7680131 157
v 226 2.1164319 48.765882 162
v 227 2.1182856 48.7674577 158
v 228 2.1167433 48.7673125 162
v 229 2.1176229 48.7668889 160
v 230 2.1150275 48.7646692 162
v 231 2.1209233 48.7621151 158
v 232 2.1189051 48.7627587 159
v 233 2.2265991 48.7752291 156
v 234 2.2263906 48.7752928 157
v 235 2.2285117 48.7740172 149
v 236 2.2224565 48.7744859 170
v 237 2.2242595 48.7807488 168
v 238 2.2247028 48.780386 166
v 239 2.2268392 48.7785683 167
v 240 2.2274136 48.7780832 167
v 241 2.2279953 48.7775971 167
v 242 2.2285097 48.7770994 166
v 243 2.2272921 48.7793252 169
v 244 2.2284766 48.7792331 170
v 245 2.2266129 48.7815769 172
v 246 2.2289084 48.77869 169
v 247 2.2293426 48.7781438 169
v 248 2.2351282 48.781212 172
v 249 2.2325256 48.7794254 170
v 250 2.2356404 48.7806979 172
v 251 2.2361648 48.7801842 172
v 252 2.2262532 48.7805774 170
v 253 2.2246932 48.7792766 162
v 254 2.2255564 48.7870647 175
v 255 2.2215679 48.7891805 174
v 256 2.2230983 48.7871643 173
v 257 2.223841 48.7866752 173
v 258 2.2220429 48.7890608 172
v 259 2.2222549 48.7889433 172
v 260 2.2243514 48.7867242 175
v 261 2.2323902 48.7974339 111
v 262 2.236221 48.789103 166
v 263 2.2369071 48.7887243 167
v 264 2.2277725 48.7876951 174
v 265 2.229053 48.7857032 175
v 266 2.2268847 48.7904052 170
v 267 2.2278353 48.7800396 171
v 268 2.2323074 48.7953542 121
v 269 2.2161966 48.7999271 169
v 270 2.2181152 48.8198931 113
v 271 2.2396248 48.7776873 170
v 272 2.2396235 48.7775274 169
v 273 2.2397522 48.7775917 169
v 274 2.240186 48.7798948 171
v 275 2.2403758 48.7798236 171
v 276 2.2481573 48.7705715 164
v 277 2.2482067 48.7706891 165
v 278 2.2512911 48.7792618 170
v 279 2.2501933 48.7776924 171
v 280 2.2532095 48.7786713 169
v 281 2.253353 48.7785782 169
v 282 2.2516989 48.7789878 170
v 283 2.2517908 48.779503 169
v 284 2.2546427 48.7777921 171
v 285 2.1543171 48.7852725 153
v 286 2.1541321 48.7859592 156
v 287 2.1525729 48.7863437 149
v 288 2.1523242 48.7865869 149
v 289 2.1523653 48.7890554 133
v 290 2.1525396 48.7893577 132
v 291 2.1546256 48.7905942 125
v 292 2.1554193 48.7910808 124
v 293 2.1560783 48.7917014 122
v 294 2.1535134 48.7935789 121
v 295 2.1477738 48.7902374 135
v 296 2.2188378 48.7825693 166
v 297 2.2188875 48.7826732 166
v 298 2.2189001 48.7814366 165
v 299 2.2223419 48.783981 170
v 300 2.2195461 48.7812412 167
v 301 2.21992 48.7754994 168
v 302 2.2223117 48.7783715 166
v 303 2.1790323 48.7779737 177
v 304 2.1790996 48.7778493 176
v 305 2.1793036 48.7778954 176
v 306 2.1793154 48.7779226 176
v 307 2.1791243 48.7780287 177
v 308 2.1734965 48.7811438 176
v 309 2.1720066 48.7813141 175
v 310 2.1755024 48.7792428 178
v 311 2.1332682 48.7876786 154
v 312 2.1260414 48.7888996 173
v 313 2.1258695 48.7889831 173
v 314 2.1257638 48.7888753 174
v 315 2.208102 48.7788368 173
v 316 2.2081152 48.7789572 173
v 317 2.2081366 48.7792517 173
v 318 2.2083542 48.7793265 173
v 319 2.2080211 48.7793505 173
v 320 2.2150782 48.7827559 167
v 321 2.2137681 48.7825632 168
v 322 2.2149708 48.7827604 168
v 323 2.248413 48.8000223 165
v 324 2.2483196 48.8002252 165
v 325 2.2489695 48.8002961 165
v 326 2.2490108 48.8001508 165
v 327 2.2489106 48.8000192 165
v 328 2.2486625 48.7999524 165
v 329 2.1256138 48.7896779 177
v 330 2.1290206 48.7888043 168
v 331 2.1293786 48.7884848 166
v 332 2.1152374 48.7900619 179
v 333 2.228781 48.7658551 118
v 334 2.2294381 48.7667983 118
v 335 2.2296194 48.766603 116
v 336 2.2302321 48.766537 116
v 337 2.2305617 48.7666051 116
v 338 2.1521457 48.7864965 147
v 339 2.1348024 48.7980783 137
v 340 2.1332971 48.7995142 138
v 341 2.1239805 48.807068 127
v 342 2.1308824 48.8020559 131
v 343 2.1318001 48.803516 133
v 344 2.1339715 48.802926 137
v 345 2.1345769 48.8027522 140
v 346 2.1354211 48.8040997 139
v 347 2.1359637 48.8049914 136
v 348 2.1360434 48.8052537 134
v 349 2.1324944 48.8050401 130
v 350 2.1311571 48.8049025 129
v 351 2.1325515 48.804761 131
v 352 2.1320791 48.8039733 132
v 353 2.1317136 48.8013372 132
v 354 2.2192055 48.7468765 84
v 355 2.1243471 48.804444 130
v 356 2.1240331 48.8046728 131
v 357 2.1263714 48.8031166 128
v 358 2.1296351 48.8022446 130
v 359 2.1308129 48.8019267 131
v 360 2.1578338 48.7984403 114
v 361 2.1580485 48.7984607 114
v 362 2.1597606 48.7994059 113
v 363 2.1578179 48.798527 114
v 364 2.1534418 48.7984175 117
v 365 2.1264527 48.8032461 128
v 366 2.1268402 48.8044565 130
v 367 2.1262571 48.8045893 132
v 368 2.1411977 48.8056356 136
v 369 2.141244 48.8057479 135
v 370 2.1318049 48.8016671 131
v 371 2.1318759 48.8017878 131
v 372 2.1316253 48.8018551 132
v 373 2.1315453 48.8017328 131
v 374 2.1362259 48.8005059 132
v 375 2.1362751 48.8006046 132
v 376 2.1672349 48.8037692 104
v 377 2.1759101 48.8040229 96
v 378 2.1856369 48.8057756 89
v 379 2.1154258 48.8021248 122
v 380 2.1275221 48.7987812 125
v 381 2.1071561 48.8032392 121
v 382 2.1238619 48.7933934 132
v 383 2.1297158 48.8023754 130
v 384 2.1311837 48.8049873 129
v 385 2.1310345 48.8049737 129
v 386 2.1310115 48.8048908 129
v 387 2.2267016 48.7742113 155
v 388 2.2268809 48.7741906 154
v 389 2.2288303 48.7759614 158
v 390 2.2228977 48.7799803 164
v 391 2.2183561 48.7810584 166
v 392 2.2179166 48.7812086 166
v 393 2.1887997 48.6931402 116
v 394 2.1667551 48.693265 111
v 395 2.1659677 48.6940212 103
v 396 2.1654977 48.6943485 98
v 397 2.1651768 48.6942896 97
v 398 2.1642873 48.6944032 92
v 399 2.1684476 48.6960617 86
v 400 2.1689366 48.695944 86
v 401 2.1691606 48.6957908 87
v 402 2.1693762 48.6955461 90
v 403 2.1693819 48.6953786 92
v 404 2.1695714 48.695219 92
v 405 2.17015 48.6952838 92
v 406 2.1695466 48.6957073 89
v 407 2.1657326 48.6947227 97
v 408 2.1691959 48.6951822 93
v 409 2.1690119 48.6959308 86
v 410 2.1702414 48.6954136 91
v 411 2.1704768 48.6952505 92
v 412 2.1934823 48.6940051 109
v 413 2.1926723 48.6945384 103
v 414 2.1920755 48.693751 109
v 415 2.1313993 48.7824372 141
v 416 2.129121 48.7793879 124
v 417 2.1294208 48.778929 116
v 418 2.1307995 48.7792549 126
v 419 2.1309068 48.7818839 140
v 420 2.1242688 48.7939822 130
v 421 2.1260308 48.7934673 136
v 422 2.1280235 48.7964607 130
v 423 2.1298675 48.7945343 139
v 424 2.125523 48.7958254 128
v 425 2.1257689 48.7992821 122
v 426 2.1237857 48.7963419 127
v 427 2.1244401 48.7996482 120
v 428 2.1232625 48.7978801 124
v 429 2.1224858 48.7967283 125
v 430 2.1208324 48.794264 135
v 431 2.1200155 48.7931823 143
v 432 2.1179654 48.7924547 148
v 433 2.1221333 48.7938857 133
v 434 2.1212462 48.7948784 131
v 435 2.1225492 48.7944997 131
v 436 2.1220599 48.7961049 127
v 437 2.1233664 48.795718 128
v 438 2.1250971 48.7952053 128
v 439 2.1268451 48.7946877 132
v 440 2.129467 48.793911 140
v 441 2.1290871 48.7932987 142
v 442 2.1264398 48.7940778 134
v 443 2.1246814 48.7945953 129
v 444 2.1229598 48.7951046 129
v 445 2.1216622 48.7954949 129
v 446 2.1276158 48.7958472 131
v 447 2.1286626 48.7928772 143
v 448 2.128269 48.7922263 150
v 449 2.1289354 48.7885089 167
v 450 2.2031109 48.7797125 179
v 451 2.1894268 48.7807557 180
v 452 2.1245625 48.7974912 125
v 453 2.1262929 48.7969735 128
v 454 2.1306095 48.7957012 138
v 455 2.1254527 48.7972249 127
v 456 2.125914 48.7964042 128
v 457 2.1271325 48.7967223 129
v 458 2.126663 48.7975178 127
v 459 2.1251222 48.7937349 133
v 460 2.1255444 48.7943413 132
v 461 2.1234555 48.7942305 132
v 462 2.1230512 48.7936183 132
v 463 2.1180632 48.7924869 146
v 464 2.1183588 48.7922271 152
v 465 2.1171568 48.7888066 179
v 466 2.2239094 48.7866604 174
v 467 2.2240239 48.7865507 173
v 468 2.1689522 48.7876695 177
v 469 2.1659043 48.7860356 178
v 470 2.1691766 48.7875818 177
v 471 2.1692365 48.7869716 178
v 472 2.1671618 48.7866589 177
v 473 2.1692142 48.7863273 178
v 474 2.1691909 48.7857578 179
v 475 2.1781804 48.7848779 177
v 476 2.1772581 48.7843498 177
v 477 2.1758272 48.7852845 178
v 478 2.1756 48.7846739 177
v 479 2.1727555 48.7864183 178
v 480 2.1725593 48.7857983 177
v 481 2.1723175 48.7851907 179
v 482 2.2696951 48.7450905 83
v 483 2.2693998 48.7460872 85
v 484 2.272043 48.7499015 91
v 485 2.2721502 48.7500563 91
v 486 2.2720763 48.7502691 92
v 487 2.271949 48.7500219 91
v 488 2.2719772 48.7437111 74
v 489 2.2685616 48.7422499 71
v 490 2.2711369 48.744595 79
v 491 2.2713514 48.7415686 68
v 492 2.2737736 48.7417117 61
v 493 2.2723372 48.7432916 72
v 494 2.2735462 48.7435221 70
v 495 2.2752998 48.7417827 60
v 496 2.2744601 48.7425693 62
v 497 2.269637 48.7460131 85
v 498 2.2742253 48.7456442 77
v 499 2.2736458 48.7465827 81
v 500 2.2709774 48.7461618 83
v 501 2.2718761 48.7464556 83
v 502 2.2749012 48.7468097 80
v 503 2.2750449 48.7467538 79
v 504 2.2749378 48.7449854 72
v 505 2.2231135 48.7471758 78
v 506 2.2266328 48.7446506 77
v 507 2.2220216 48.7479722 74
v 508 2.2209379 48.7490406 73
v 509 2.1266582 48.7654579 153
v 510 2.1171789 48.766504 162
v 511 2.1192624 48.7654482 158
v 512 2.1236437 48.7640493 155
v 513 2.1219653 48.7617825 157
v 514 2.1219257 48.7617253 157
v 515 2.1251672 48.7635303 156
v 516 2.1235616 48.7612658 156
v 517 2.1235233 48.761209 156
v 518 2.2374694 48.7317046 85
v 519 2.2366329 48.7314137 92
v 520 2.2342322 48.7313034 89
v 521 2.2317249 48.7316931 82
v 522 2.228814 48.7325971 83
v 523 2.2390586 48.7303227 94
v 524 2.2398493 48.7309143 93
v 525 2.2407317 48.7299698 97
v 526 2.2395472 48.7306856 94
v 527 2.2398052 48.7299283 96
v 528 2.2415316 48.7292297 101
v 529 2.2435045 48.7304725 95
v 530 2.244624 48.729697 96
v 531 2.2453694 48.7280939 92
v 532 2.2461339 48.7264037 89
v 533 2.246962 48.7245465 92
v 534 2.2437438 48.7279754 97
v 535 2.2409796 48.7296627 98
v 536 2.2405266 48.7296667 96
v 537 2.2409929 48.729609 98
v 538 2.2350118 48.727565 112
v 539 2.2363781 48.7283429 104
v 540 2.2576501 48.7204739 100
v 541 2.2650114 48.7279853 75
v 542 2.2715141 48.7263462 74
v 543 2.2725945 48.7209826 83
v 544 2.2728155 48.7210638 83
v 545 2.2727031 48.7211571 83
v 546 2.2725656 48.7211298 83
v 547 2.2568875 48.7263767 85
v 548 2.2558959 48.7252668 85
v 549 2.2513938 48.7211647 94
v 550 2.1276572 48.7297682 156
v 551 2.1270293 48.7294451 155
v 552 2.1272834 48.7291989 155
v 553 2.1279034 48.7293035 155
v 554 2.1452698 48.7295611 157
v 555 2.1279411 48.7295834 156
v 556 2.2233505 48.7390624 108
v 557 2.2235881 48.7390464 107
v 558 2.223533 48.7392241 108
v 559 2.2238729 48.7399554 110
v 560 2.2224993 48.7391136 104
v 561 2.2226973 48.7387445 102
v 562 2.2240919 48.7386421 104
v 563 2.2243611 48.7388819 105
v 564 2.2235746 48.7379984 101
v 565 2.2218228 48.7377619 89
v 566 2.2214018 48.7377384 91
v 567 2.2245921 48.7382537 101
v 568 2.2215256 48.7382844 94
v 569 2.2218859 48.7373952 86
v 570 2.2218863 48.7373236 85
v 571 2.2230087 48.7400411 114
v 572 2.2260051 48.7428344 80
v 573 2.2309951 48.7387743 77
v 574 2.2285491 48.7358088 74
v 575 2.2285687 48.7357326 74
v 576 2.2286398 48.7356994 74
v 577 2.2287936 48.735737 74
v 578 2.2287853 48.7358232 74
v 579 2.2150983 48.7338653 87
v 580 2.2133507 48.7322915 103
v 581 2.2152806 48.733022 95
v 582 2.2210224 48.735116 79
v 583 2.2211207 48.7351892 79
v 584 2.2212365 48.7351163 79
v 585 2.2240758 48.7351044 79
v 586 2.2251317 48.7358446 75
v 587 2.2213452 48.7331491 89
v 588 2.2222978 48.7351129 80
v 589 2.2224155 48.7339459 85
v 590 2.2211179 48.7350392 79
v 591 2.2176695 48.7332667 88
v 592 2.2179635 48.7332326 88
