query,scalar_name,graph_mode,forward_tree_s,backward_tree_s,profile_scan_s,reconstruction_s,total_s,forward_heap_pops,forward_expanded_nodes,forward_edge_scans,backward_heap_pops,backward_expanded_nodes,backward_edge_scans,via_vertices_scanned,profile_feasible_count,reconstructed_count,rejected_non_elementary_count,rejected_validation_count,exact_feasible_count,time_to_first_feasible_s,best_via_vertex,best_L,best_H,best_avg_pop,best_avg_width,best_road_changes,best_box_score,equal_cost_relaxations,equal_cost_resource_distinct_relaxations,parent_changes_due_to_road_tiebreak,backward_branch_validation_passed
paris_bures,pop_width_reference,full,0.1708135000008042,0.16127859999687644,0.03535250000277301,1.1549325000014505,1.5412486999994144,23033,21727,44358,23017,21715,44348,21241,2163,2163,1267,0,896,0.3869328000000678,19510,34078.0,431.9000013023615,197.86293209695404,13.297141851047597,113,0.6594283702095194,24,7,0,True
paris_bures,slope_exp_beta_150_width,full,0.1953856000036467,0.18456680000235792,0.03815729999769246,0.2124790000016219,0.6515150999985053,23429,21727,44358,23330,21715,44348,21241,394,394,261,0,133,0.439586499996949,5807,32203.0,488.39999951422215,158.99456572369033,14.472254137813247,122,0.8944508275626493,24,6,2,True
paris_bures,pop_width_reference,certified,0.12332040000183042,0.24376350000238745,0.08398019999731332,3.2234752000003937,3.7033751999988453,16887,15915,32670,16887,15915,32670,15915,2163,2163,1267,0,896,0.48204550000082236,19510,34078.0,431.9000013023615,197.86293209695404,13.297141851047597,113,0.6594283702095194,23,6,0,True
paris_bures,slope_exp_beta_150_width,certified,0.4826708000036888,0.3836299000031431,0.07301429999643005,0.5418923000033828,1.5280884000021615,17195,15915,32670,17121,15915,32670,15915,394,394,261,0,133,0.9876045000055456,5807,32203.0,488.39999951422215,158.99456572369033,14.472254137813247,122,0.8944508275626493,24,6,2,True
paris_bures,pop_width_reference,geometric,0.2347964000000502,0.22669049999967683,0.04843399999663234,9.330709899993963,9.90061119999882,9541,9010,18356,9184,8664,17867,8664,5915,5915,3151,0,2764,0.5717659000001731,10762,33616.0,423.80000131577253,184.32761185149928,13.190593764873869,116,0.6381187529747738,18,3,0,True
paris_bures,slope_exp_beta_150_width,geometric,0.25241989999631187,0.2217908000020543,0.04125110000313725,1.783677200000966,2.3410912999970606,9730,9010,18356,9340,8664,17867,8664,1238,1238,682,0,556,0.5589747999983956,10511,33763.0,480.6000007838011,169.0320765334834,13.662441133785505,138,0.7324882267571009,22,6,3,True
