9 1 1 0 1 0 1 2 1 1 3 0 0 0 1 3 3 1 0 0 0 0 1 1 1 229 247 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 1 0 0 0 0 0 1 5 1 0 0 0 1 44 111 120 1 0 1 1 34 93 100 101 101 100 92 67 44 24 10 5 3 2 1 1 3 24 1 1 39 245 1 1 0 0 0 0 45 144 0 0 0 1 29 1 1 0 0 0 0 1 25 1 1 1 0 0 0 1 8 4 1 0 0 0 1 10 0 0 0 0 1 20 1 0 0 0 0 0 1 0 0 0 0 0 1 1 8 14 3 1 0 0 0 165 35 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 92 171 114 2 1 1 1 1 0 0 0 0 0 0 0 0 1 4 15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 120 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 15 79 16 1 1 1 1 1 1 0 1 78 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 1 2 6 21 83 196 206 203 198 203 213 224 198 203 209 211 211 210 210 208 205 180 131 2 1 1 13 2 7 1 1 1 1 1 39 1 1 1 1 1 1 0 0 0 1 1 1 1 1 155 177 16 4 1 1 1 1 1 1 1 2 223 246 253 42 1 1 1 1 1 3 6 8 9 9 9 8 7 4 2 1 1 8 33 1 1 1 1 1 1 2 1 1 1 1 1 0 0 1 1 0 1 1 6 2 1 58 27 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 171 3 1 1 1 1 1 1 1 1 2 6 35 133 193 212 214 214 214 214 210 202 212 214 225 7 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 7 2 1 106 105 1 1 1 1 46 9 1 1 1 74 2 1 1 0 1 1 0 1 1 2 3 68 112 2 1 1 1 1 98 73 1 1 1 1 94 3 2 8 203 53 46 18 1 1 1 1 1 4
16 9 1 1 1 0 0 2 1 1 3 0 0 1 3 1 1 0 0 0 0 0 1 1 7 254 117 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 3 1 1 1 1 0 0 0 4 1 0 0 1 0 27 3 1 172 1 0 0 0 0 1 1 0 0 1 1 7 19 42 64 80 86 94 97 100 99 135 134 15 246 16 1 0 0 0 1 0 4 177 0 0 0 1 36 1 0 0 0 0 0 0 19 1 1 1 1 0 0 9 3 0 0 0 0 0 5 3 0 0 1 1 19 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 5 15 16 16 62 159 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 105 177 81 1 1 1 1 0 0 0 0 0 0 0 1 1 6 12 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 121 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 11 110 81 17 35 26 3 1 1 0 0 0 7 48 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 8 207 209 131 94 90 100 68 23 157 2 1 1 1 0 0 0 0 0 1 31 1 0 2 5 1 1 6 1 0 1 1 39 1 1 1 1 1 0 0 0 1 1 1 1 9 176 125 1 1 10 1 1 0 1 1 1 1 122 101 204 232 253 72 11 8 7 6 3 1 1 1 1 1 1 1 1 1 1 1 1 2 32 1 1 1 2 1 1 1 1 0 0 1 1 1 1 1 1 1 6 2 1 1 101 3 1 1 1 0 0 1 0 0 1 1 0 0 1 1 2 174 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 102 215 169 244 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 5 1 47 157 1 1 1 1 1 73 1 1 0 1 72 2 1 1 1 1 1 1 1 8 38 93 144 3 1 1 1 1 1 156 4 1 0 1 1 16 59 1 171 55 1 1 1 0 0 0 0 1 1
1 3 14 16 3 1 1 2 1 1 2 0 1 3 1 1 0 0 0 1 1 1 1 2 232 247 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 2 2 1 4 0 0 1 2 14 24 1 0 135 33 0 0 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 6 246 199 2 1 0 0 1 1 0 1 182 0 0 0 0 7 11 0 0 0 0 0 0 1 22 1 1 1 0 5 5 1 0 0 0 0 0 10 1 0 1 1 11 2 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 187 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 3 135 162 32 1 1 1 0 0 0 0 0 1 1 0 1 7 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 52 43 1 0 0 0 1 1 0 0 0 0 0 0 1 1 8 110 86 2 1 1 1 2 21 34 14 1 1 1 64 3 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 130 216 47 1 7 1 0 0 0 1 143 1 1 1 1 0 0 1 0 0 1 31 1 0 12 1 1 1 1 6 1 0 1 33 1 1 1 1 1 0 0 1 1 1 1 44 163 109 2 1 1 10 1 1 1 1 1 31 145 17 1 1 203 232 253 43 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 2 32 2 2 1 1 0 0 1 1 1 1 0 0 0 1 1 6 2 1 1 1 109 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 93 112 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 41 54 182 198 238 177 11 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 6 3 170 10 2 1 1 1 1 71 1 0 1 1 70 3 1 1 1 1 1 1 29 19 49 71 30 1 1 1 1 1 1 163 1 1 1 1 1 2 79 19 190 1 1 0 0 0 0 1 1 1 0
1 1 1 2 16 29 16 2 1 1 2 1 3 1 1 0 0 1 1 1 1 1 4 235 250 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 2 1 1 1 0 0 0 0 0 0 1 3 8 3 3 43 36 8 1 1 1 90 91 2 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 216 199 4 104 11 1 1 1 0 0 1 184 0 0 0 0 1 37 0 0 0 0 0 1 1 25 1 1 0 2 9 1 0 0 0 0 0 0 11 1 1 1 1 16 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 148 22 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 25 161 123 3 1 1 0 0 0 1 1 0 0 0 1 17 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 88 33 1 1 1 0 1 0 0 0 0 1 1 6 110 94 3 1 1 1 1 1 1 1 1 5 32 31 12 73 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 170 177 1 1 1 9 0 0 0 1 1 144 2 0 0 1 1 1 1 1 1 1 30 1 1 12 1 1 1 1 1 6 1 1 4 20 1 1 1 1 0 1 1 1 2 92 64 149 2 1 1 1 9 1 1 1 1 109 112 1 1 1 1 1 204 232 253 42 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 5 33 1 1 1 1 1 1 0 0 0 0 0 1 1 5 2 1 1 1 1 111 1 1 0 0 0 0 0 1 1 1 1 1 1 1 2 169 4 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 3 74 20 1 29 232 203 7 176 136 1 1 1 1 1 1 0 0 0 0 0 0 1 1 9 153 30 1 2 3 1 1 24 27 1 0 1 1 65 4 1 2 3 12 34 39 5 53 53 1 27 1 1 1 1 1 3 156 1 1 1 1 1 2 8 210 16 1 1 0 0 0 1 1 0 0 1
35 43 47 47 47 45 51 67 65 9 1 2 2 1 1 1 1 1 0 1 1 25 251 246 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 11 37 1 1 1 0 1 1 88 1 92 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 167 230 1 1 1 79 48 1 1 0 0 1 184 0 0 0 0 1 36 1 0 0 0 0 0 0 7 6 0 1 18 1 0 0 0 0 0 0 1 8 1 2 2 22 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 35 138 1 0 1 1 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 92 164 36 1 1 1 1 1 0 0 0 0 0 1 25 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 2 37 87 67 3 1 1 1 1 1 1 5 108 98 3 1 1 1 1 1 1 1 1 1 1 1 1 1 70 64 5 1 1 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 1 188 140 1 1 0 1 8 0 0 0 0 0 110 45 1 1 1 1 1 1 1 1 2 36 0 1 3 6 1 1 1 1 1 7 1 1 42 1 1 1 1 1 1 1 17 100 5 129 26 1 1 1 1 5 1 1 17 141 36 1 1 1 0 1 1 1 204 232 253 43 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 17 1 1 1 0 0 0 0 0 0 1 1 5 2 1 1 0 1 1 111 1 0 0 1 0 0 0 0 0 1 1 1 1 1 2 172 1 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 22 72 3 1 1 2 219 229 2 1 80 182 43 2 1 1 1 0 0 0 0 0 0 1 1 133 93 1 1 1 1 6 1 68 2 1 1 0 1 59 17 37 33 29 13 2 1 71 36 1 1 27 1 1 1 1 1 81 97 1 1 1 2 2 1 41 207 2 1 1 0 0 0 0 0 1 1 1
24 27 27 27 25 22 21 19 24 138 2 2 1 0 1 0 1 1 1 8 176 254 213 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 7 60 2 1 1 1 0 1 1 83 1 2 89 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 45 242 1 0 1 1 1 34 95 1 1 0 1 184 1 0 0 0 0 6 13 0 0 0 0 0 0 1 24 1 10 2 1 0 0 0 0 0 0 4 2 0 0 1 10 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 175 1 1 0 0 0 0 1 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 12 155 79 1 1 1 0 0 0 0 0 0 0 1 28 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 5 1 10 153 158 140 94 95 133 150 103 3 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 29 7 2 6 6 2 1 1 1 1 0 0 0 0 1 1 1 1 1 20 210 105 1 1 1 1 5 2 0 0 0 0 0 36 111 1 1 1 1 1 1 1 1 1 38 0 1 1 14 1 0 1 1 1 2 10 2 32 3 1 1 1 1 1 74 68 1 3 149 1 1 1 1 1 4 2 87 123 2 1 1 1 0 0 1 1 1 1 204 231 253 40 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 2 2 1 17 1 1 1 0 0 0 0 1 1 6 2 1 1 0 1 1 1 109 1 0 0 1 0 0 0 0 0 1 1 1 1 1 62 126 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 58 41 1 1 1 1 1 102 247 47 1 1 2 158 155 3 1 1 1 0 0 0 0 1 1 50 157 1 1 1 1 6 17 33 92 1 1 1 0 1 55 60 3 1 1 1 2 87 18 1 1 1 27 1 1 1 1 1 150 6 1 1 2 1 1 1 194 13 51 1 1 0 0 0 1 1 1 1 8
5 2 1 1 1 1 1 1 1 127 3 1 0 1 1 1 1 10 207 254 253 77 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 2 14 17 15 3 1 1 1 0 0 1 1 71 1 0 2 89 1 0 0 0 1 1 0 0 0 0 1 1 0 1 1 4 244 10 1 1 1 1 1 1 5 109 2 1 1 184 1 0 0 0 0 1 36 0 0 0 0 0 0 0 4 16 15 1 1 1 1 0 0 0 1 8 0 0 1 14 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 149 20 1 0 0 0 0 0 0 0 1 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 135 80 1 1 1 1 0 0 0 0 0 1 2 18 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 5 25 91 7 1 11 64 62 19 40 2 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 42 1 0 0 1 4 7 5 2 1 1 1 0 1 1 1 1 2 186 225 54 1 0 0 1 1 7 0 0 0 0 0 0 1 152 0 0 0 0 0 0 1 1 1 37 0 1 1 13 1 1 1 1 1 3 3 9 3 34 1 1 1 7 103 15 1 1 131 25 1 1 1 1 1 24 134 59 1 1 1 1 0 0 0 0 1 1 1 1 205 231 253 41 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 17 1 1 1 0 0 1 1 6 2 1 1 0 1 1 1 4 96 1 0 0 1 1 0 0 0 1 1 1 1 1 1 165 6 1 1 1 0 1 1 0 1 1 1 1 1 1 1 8 75 9 1 1 1 1 1 1 21 248 107 1 1 1 1 49 181 85 1 1 1 1 1 1 1 4 170 14 1 1 1 3 10 1 6 114 16 1 1 1 1 50 55 5 1 1 2 94 6 1 1 1 1 27 1 1 1 1 1 160 1 1 2 1 1 1 74 156 1 60 2 1 0 0 1 1 1 1 10 101
1 1 1 1 1 1 0 1 6 107 1 1 1 1 1 11 243 255 251 79 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 2 2 2 2 1 1 0 0 0 1 0 0 0 0 1 12 12 1 3 6 1 0 2 1 0 0 0 1 69 0 0 0 2 89 1 0 0 1 1 1 1 0 1 1 0 1 1 1 238 112 1 0 1 1 1 1 0 1 1 105 5 1 184 1 0 0 0 0 1 37 0 0 0 0 0 0 0 1 88 6 6 7 6 3 1 1 1 4 2 0 0 6 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 36 137 1 0 0 0 0 0 0 0 0 0 1 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 152 40 0 1 1 1 0 0 0 0 0 1 5 23 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 3 108 1 1 1 0 1 1 1 4 20 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 34 1 0 0 0 0 1 1 4 5 3 1 1 1 1 1 165 227 143 2 10 28 28 9 1 9 1 1 1 1 1 1 1 1 156 0 0 0 0 0 0 1 0 1 37 0 0 1 11 1 1 1 1 4 1 1 1 9 37 3 1 18 93 2 1 1 47 111 1 1 1 1 1 84 145 6 1 1 1 1 1 0 0 0 0 1 1 1 1 1 206 231 253 39 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 17 1 1 1 1 1 6 2 1 1 0 0 1 1 1 28 56 1 0 0 0 1 0 0 0 1 1 1 1 1 1 172 1 1 0 0 0 0 1 1 1 0 0 0 0 1 40 59 1 1 1 1 1 1 0 1 2 230 217 1 1 1 1 1 1 131 174 10 1 1 1 1 1 159 17 9 1 1 1 18 1 1 61 8 13 31 1 1 1 44 25 32 1 3 95 4 1 1 1 0 1 28 1 1 1 1 2 161 1 1 1 1 1 1 196 2 2 40 46 1 1 1 1 1 1 154 251 251
13 9 2 1 1 1 1 1 124 2 1 1 1 1 245 255 240 4 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 15 2 1 1 12 1 1 0 1 2 1 0 0 1 69 1 0 0 0 3 81 1 1 1 1 0 1 1 1 0 1 1 1 216 196 1 1 0 0 1 0 1 1 0 1 1 98 8 182 1 1 1 1 0 1 39 1 1 1 2 2 1 1 1 73 1 1 1 1 2 6 6 1 8 0 0 1 11 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 175 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 17 165 1 0 1 1 1 1 0 0 0 0 0 1 23 21 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 16 80 0 0 1 0 0 0 1 1 50 2 1 0 0 0 0 1 1 1 1 0 0 0 1 1 17 6 1 0 0 0 0 1 1 1 1 2 4 5 10 185 227 171 2 1 1 1 1 1 5 47 70 62 62 58 56 53 45 21 5 159 1 2 2 3 5 5 6 6 7 37 0 0 1 10 2 1 1 3 1 1 0 1 1 12 46 1 78 14 1 1 1 150 4 1 1 1 5 145 87 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 1 206 231 253 32 1 1 1 1 1 1 1 0 0 0 1 1 4 1 1 1 1 1 17 1 1 1 5 2 1 1 0 0 0 0 1 1 82 9 1 0 0 0 1 1 0 0 1 1 1 1 1 41 141 1 1 0 0 0 0 1 1 0 0 0 1 3 70 22 1 1 1 1 1 1 1 0 1 1 96 248 29 1 1 1 1 1 1 11 175 114 1 1 1 125 72 1 16 19 19 16 1 1 1 87 1 1 4 43 2 1 32 32 36 7 95 2 1 1 1 1 1 1 27 1 1 1 1 10 147 1 1 1 1 1 101 144 25 30 1 13 10 1 1 1 17 250 250 54 1
1 2 9 12 1 1 1 10 64 72 1 1 1 251 237 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 1 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 3 11 1 1 7 2 1 0 0 0 2 1 0 0 1 69 1 0 0 0 0 32 30 1 0 0 0 0 1 0 1 1 1 163 229 1 0 1 1 0 1 1 1 1 0 1 1 6 101 197 2 0 0 1 1 0 37 3 2 1 1 1 0 0 0 12 26 1 1 0 0 0 1 7 27 1 1 14 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 148 22 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 133 75 0 0 0 1 1 1 0 0 0 0 0 1 1 28 10 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 71 23 0 0 0 0 0 0 0 1 55 1 1 0 0 0 0 1 1 0 1 1 1 1 0 1 44 1 1 0 0 0 1 1 0 1 1 1 59 220 227 157 7 2 1 1 1 1 0 1 1 5 1 1 1 1 1 1 2 8 28 188 4 3 3 2 1 1 1 1 19 7 0 1 4 3 1 4 4 1 1 1 1 1 1 4 96 6 2 104 1 1 2 154 1 1 1 56 152 12 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 207 233 253 30 1 1 1 1 1 1 1 0 0 0 1 4 1 1 0 1 1 1 16 1 5 2 1 1 0 0 0 0 0 1 1 105 2 1 0 0 0 0 1 0 0 1 1 1 1 1 160 10 1 1 0 0 0 1 1 1 1 0 1 20 69 4 1 1 1 1 1 1 1 1 1 1 1 23 247 114 1 1 1 1 0 1 1 1 105 176 18 62 132 1 1 42 1 1 1 1 1 1 81 1 1 1 1 41 5 21 78 51 87 1 1 1 1 1 1 0 1 26 1 1 1 1 105 61 1 1 1 1 2 207 54 5 1 1 1 41 4 2 218 251 169 1 1 13
