# old_node_id  xy_node_id  lon  lat
228381371 4684 2.2743801 48.8194664
212579934 4424 2.1460799 48.6961689
35876739 524 2.2303637 48.7766526
209138152 4367 2.1458424 48.836837
139309189 1848 2.3038308 48.8305785
247178518 6106 2.2535312 48.6640313
246787072 6085 2.063323 48.7129903
206241190 3883 2.2827416 48.7623886
229193668 4701 2.2659472 48.8039633
197445681 3084 2.0687182 48.6730086
34911997 423 2.1335657 48.7747362
242554953 5307 2.0443368 48.7624116
176832817 2560 2.2848838 48.8076125
243996076 5761 2.2393053 48.7409952
209187488 4373 2.2082831 48.6990236
216421514 4536 2.2071129 48.8185825
302520118 8732 2.3149459 48.6529117
243892208 5675 2.1704892 48.7308659
192749116 2857 2.1754039 48.798174
112345088 1240 2.2418416 48.8243714
118076333 1411 2.1853834 48.6821341
276078622 7809 2.322004 48.7916965
1045340828 13710 2.2909629 48.698867
125629781 1485 2.1244401 48.7996482
199189185 3327 2.124156 48.8128091
192864208 2891 2.1456161 48.8027538
35133847 459 2.1714656 48.7639212
256680712 6948 2.3019297 48.7805492
255419803 6875 2.2913945 48.6759503
208327843 4207 2.3296916 48.6939347
205495061 3630 2.2745342 48.754606
218154172 4566 2.1755698 48.7085157
163925743 2313 2.2241002 48.7847595
251672742 6573 2.2613435 48.689598
11937457266 22209 2.2238913 48.8271018
153593275 2179 2.0613804 48.8020298
36472568 563 2.3258159 48.8335716
141942132 1996 2.1863134 48.7021324
251137255 6423 2.2765801 48.7301434
416079017 10560 2.2496583 48.6918526
207436205 4108 2.3254508 48.81752
193796225 2938 2.1884236 48.7999156
246116143 5985 2.3264367 48.6736827
173785236 2467 2.1849462 48.7837903
175106748 2493 2.2740659 48.8367655
241862294 5176 2.2116954 48.6695797
251002939 6414 2.2759858 48.660307
208338951 4217 2.3234451 48.703033
206239793 3876 2.2704141 48.7596536
139120653 1681 2.2218863 48.7373236
244909996 5920 2.2436121 48.7245958
60580500 878 2.0448963 48.784785
1834590202 16235 2.067574 48.6445868
246140210 6007 2.3124504 48.6779122
206387888 4034 2.2626928 48.7461901
51241790 769 2.2621178 48.8228988
301841679 8629 2.2752933 48.7821086
145901752 2049 2.1757255 48.6922179
243349933 5571 2.0903188 48.7747837
243793615 5646 2.1853071 48.8339334
206161065 3811 2.1378564 48.819135
139270002 1835 2.2551291 48.8349813
449221548 11001 2.3290191 48.7288238
315034821 9309 2.3349106 48.8051777
197864020 3133 2.1649482 48.8051567
494714603 11450 2.0813218 48.7242665
6895726752 20835 2.1937864 48.8217863
218318684 4639 2.2253402 48.7049296
256021509 6912 2.2606651 48.7217292
180213984 2732 2.1533705 48.7926121
253869569 6839 2.2431145 48.7097683
42118413 693 2.3028445 48.7132085
227668784 4678 2.3112806 48.7536863
130033020 1554 2.2719772 48.7437111
255424962 6892 2.2683567 48.6513838
162614026 2305 2.3069966 48.8186661
30624733 262 2.2825666 48.8289341
203317431 3474 2.2546103 48.7920843
257043163 6962 2.2927676 48.7345026
24913020 89 2.3309863 48.8239607
139460608 1876 2.1055733 48.7880403
241587219 5082 2.3336634 48.7658186
105358554 1131 2.0711822 48.7999569
178761791 2700 2.2858694 48.8202861
241902791 5229 2.0867876 48.8387187
81079986 928 2.1345769 48.8027522
243485293 5591 2.0667987 48.7696468
218231906 4600 2.205277 48.7105171
251673280 6578 2.2778866 48.6765023
259100911 7211 2.1174516 48.8348382
221455383 4658 2.2562644 48.7760924
248376032 6248 2.0651381 48.7844313
247643775 6205 2.2715311 48.7072205
141605429 1971 2.3111791 48.8251041
198803976 3195 2.1892389 48.7534633
253830035 6774 2.1281203 48.7074141
251693136 6648 2.2474862 48.6538887
2199915734 17361 2.2939178 48.7888049
251878938 6697 2.2520531 48.6751848
244365012 5812 2.3014159 48.8000873
