# old_node_id  xy_node_id  cell_id  hop_distance
228381371 4684 0 0
212579934 4424 1 0
35876739 524 2 0
209138152 4367 3 0
139309189 1848 4 0
247178518 6106 5 0
246787072 6085 6 0
206241190 3883 7 0
229193668 4701 8 0
197445681 3084 9 0
34911997 423 10 0
242554953 5307 11 0
176832817 2560 12 0
243996076 5761 13 0
209187488 4373 14 0
216421514 4536 15 0
302520118 8732 16 0
243892208 5675 17 0
192749116 2857 18 0
112345088 1240 19 0
118076333 1411 20 0
276078622 7809 21 0
1045340828 13710 22 0
125629781 1485 23 0
199189185 3327 24 0
192864208 2891 25 0
35133847 459 26 0
256680712 6948 27 0
255419803 6875 28 0
208327843 4207 29 0
205495061 3630 30 0
218154172 4566 31 0
163925743 2313 32 0
251672742 6573 33 0
11937457266 22209 34 0
153593275 2179 35 0
36472568 563 36 0
141942132 1996 37 0
251137255 6423 38 0
416079017 10560 39 0
207436205 4108 40 0
193796225 2938 41 0
246116143 5985 42 0
173785236 2467 43 0
175106748 2493 44 0
241862294 5176 45 0
251002939 6414 46 0
208338951 4217 47 0
206239793 3876 48 0
139120653 1681 49 0
244909996 5920 50 0
60580500 878 51 0
1834590202 16235 52 0
246140210 6007 53 0
206387888 4034 54 0
51241790 769 55 0
301841679 8629 56 0
145901752 2049 57 0
243349933 5571 58 0
243793615 5646 59 0
206161065 3811 60 0
139270002 1835 61 0
449221548 11001 62 0
315034821 9309 63 0
197864020 3133 64 0
494714603 11450 65 0
6895726752 20835 66 0
218318684 4639 67 0
256021509 6912 68 0
180213984 2732 69 0
253869569 6839 70 0
42118413 693 71 0
227668784 4678 72 0
130033020 1554 73 0
255424962 6892 74 0
162614026 2305 75 0
30624733 262 76 0
203317431 3474 77 0
257043163 6962 78 0
24913020 89 79 0
139460608 1876 80 0
241587219 5082 81 0
105358554 1131 82 0
178761791 2700 83 0
241902791 5229 84 0
81079986 928 85 0
243485293 5591 86 0
218231906 4600 87 0
251673280 6578 88 0
259100911 7211 89 0
221455383 4658 90 0
248376032 6248 91 0
247643775 6205 92 0
141605429 1971 93 0
198803976 3195 94 0
253830035 6774 95 0
251693136 6648 96 0
2199915734 17361 97 0
251878938 6697 98 0
244365012 5812 99 0
280468598 7880 0 1
622395094 12144 0 1
228381558 4685 0 1
30732858 329 0 1
212581045 4425 1 1
600065006 12000 1 1
2339762982 17720 2 1
6864237345 20823 2 1
703501176 12671 3 1
703501179 12672 3 1
430487889 10656 3 1
139310781 1857 4 1
139309538 1850 4 1
144496998 2038 4 1
247178521 6107 5 1
247178514 6105 5 1
7187791504 20937 5 1
247179482 6114 5 1
319463427 9535 6 1
319463056 9533 6 1
1618034589 15306 6 1
319462701 9532 6 1
2535092637 18143 7 1
438370091 10704 7 1
206241258 3884 7 1
229193616 4700 8 1
10157881197 21734 8 1
197445684 3085 9 1
598659817 11987 9 1
1022475090 13628 9 1
5984171187 20403 10 1
34911981 422 10 1
49745231 710 10 1
1177464937 13855 11 1
243190978 5424 11 1
306480899 9002 12 1
305442384 8991 12 1
306480851 9001 12 1
402822163 10451 12 1
2581509239 18228 13 1
2581509226 18227 13 1
508561592 11579 14 1
11365823344 22066 14 1
209187486 4372 14 1
216421510 4535 15 1
216422190 4537 15 1
216425725 4542 15 1
302561651 8756 16 1
304200001 8941 16 1
2441944792 17952 16 1
302520352 8733 16 1
243892202 5674 17 1
243892191 5672 17 1
243892273 5688 17 1
3779370905 19314 17 1
192748700 2853 18 1
192758948 2861 18 1
3645465478 19150 19 1
877109826 13165 19 1
4246071755 19577 19 1
6395850514 20580 19 1
244512413 5860 20 1
118116164 1422 20 1
244512410 5858 20 1
118076331 1410 20 1
276078613 7808 21 1
282174641 7943 21 1
276077642 7807 21 1
313672500 9213 21 1
11020925441 21920 21 1
292466084 8363 22 1
2212092021 17409 22 1
5242238921 20009 22 1
193944012 2964 23 1
193929857 2955 23 1
125627896 1483 23 1
294164347 8376 23 1
1832557169 16080 24 1
1832557172 16082 24 1
205021524 3525 25 1
205250366 3541 25 1
205244909 3538 25 1
35133850 461 26 1
390181412 10410 26 1
250791313 6368 26 1
303861571 8887 27 1
1889506752 16857 28 1
1648815339 15425 28 1
255419806 6876 28 1
363907183 10104 29 1
208327055 4205 29 1
208327838 4206 29 1
3993993795 19432 30 1
11243146906 21985 30 1
6407573771 20587 31 1
6079678908 20433 31 1
218154104 4564 31 1
